Date,Open,High,Low,Close,Volume,Market.Cap,Coin,Delta
23-Dec-17,"2,746.95","3,479.71","2,684.82","3,257.08","2,843,310,000","46,342,000,000",BCH,0.04768546
22-Dec-17,"3,324.00","3,369.55","1,938.36","2,696.69","3,877,770,000","56,071,800,000",BCH,0.303928901
21-Dec-17,"3,909.00","3,909.00","3,038.01","3,267.17","3,664,330,000","65,933,700,000",BCH,-0.250704975
20-Dec-17,"2,825.03","4,355.62","2,825.03","3,923.07","11,889,600,000","47,644,600,000",BCH,-0.04519645
12/19/2017,2199.06,2918.93,2160.92,2805.89,"3,913,340,000","37,083,300,000",BCH,-0.054353879
12/18/2017,1869.21,2353.64,1799.12,2196.64,"2,538,650,000","31,516,900,000",BCH,-0.020140105
12/17/2017,1812.33,1939.93,1806.65,1862.88,"1,020,590,000","30,554,500,000",BCH,0.031099431
12/16/2017,1824.85,1890.06,1769.5,1801.88,"971,255,000","30,762,600,000",BCH,0.338255261
12/15/2017,1974.66,1974.66,1678.06,1815.43,"1,457,230,000","33,284,800,000",BCH,0.54566795
12/14/2017,1600.67,2080.41,1593.15,1966.14,"2,717,410,000","26,977,700,000",BCH,0.051405248
12/13/2017,1616.99,1702.53,1497.94,1607.65,"1,245,190,000","27,249,600,000",BCH,0.011735258
12/12/2017,1427.38,1638.29,1427.38,1615.03,"1,386,250,000","24,051,800,000",BCH,0.022599058
12/11/2017,1320,1453.49,1316.85,1423.38,"922,792,000","22,239,900,000",BCH,-0.043883169
12/10/2017,1411.84,1411.84,1226.21,1323.07,"885,886,000","23,784,900,000",BCH,0.017405752
12/9/2017,1464.63,1526.4,1353.9,1410.06,"1,059,610,000","24,671,600,000",BCH,-0.023451641
12/8/2017,1329.16,1731.32,1247.93,1464.13,"2,553,980,000","22,386,700,000",BCH,0.064700674
12/7/2017,1430.71,1454.73,1323.75,1330.93,"1,285,210,000","24,095,900,000",BCH,0.112833535
12/6/2017,1498.49,1530.65,1396.16,1430.1,"1,154,620,000","25,234,400,000",BCH,0.213392653
12/5/2017,1580.16,1623.16,1498,1501.85,"1,032,800,000","26,606,900,000",BCH,-0.022965485
12/4/2017,1560.16,1580.11,1498.98,1576.92,"780,634,000","26,267,300,000",BCH,-0.022292507
12/3/2017,1435.36,1649.3,1420.6,1559.93,"1,476,740,000","24,163,600,000",BCH,0.074797251
12/2/2017,1462.06,1502.37,1415.49,1434.98,"574,510,000","24,610,500,000",BCH,0.145613465
12/1/2017,1381.81,1482.68,1300.46,1462.68,"965,151,000","23,257,100,000",BCH,0.086520839
11/30/2017,1380.36,1468.75,1222.1,1389.78,"1,211,730,000","23,230,400,000",BCH,0.018337298
11/29/2017,1541.63,1673.23,1332.14,1359.71,"2,345,250,000","25,941,800,000",BCH,0.016963165
11/28/2017,1621.17,1629.48,1543.08,1546.18,"1,274,880,000","27,277,200,000",BCH,0.03478949
11/27/2017,1722.93,1742.4,1607.79,1622.57,"1,391,460,000","28,986,800,000",BCH,-0.045574137
11/26/2017,1571.39,1758.61,1563.35,1735.66,"1,593,050,000","26,434,500,000",BCH,0.025224111
11/25/2017,1634,1656.55,1535.77,1571.27,"1,560,040,000","27,484,900,000",BCH,-0.010374904
11/24/2017,1651.86,1782.83,1575.76,1648.51,"3,128,960,000","27,782,400,000",BCH,-0.010456331
11/23/2017,1302.23,1683.81,1299.95,1683.81,"4,112,090,000","21,899,400,000",BCH,-0.024935892
11/22/2017,1175.06,1335.25,1171.6,1303.31,"1,517,620,000","19,758,600,000",BCH,-0.092278871
11/21/2017,1220.78,1224.15,1140.88,1176.97,"772,859,000","20,525,100,000",BCH,0.184985655
11/20/2017,1172.43,1236.01,1167.28,1236.01,"800,053,000","19,710,200,000",BCH,-0.005138616
11/19/2017,1260.95,1262.34,1144.08,1172.05,"1,285,910,000","21,196,200,000",BCH,-0.023168538
11/18/2017,1197.43,1388.11,1197.43,1254.53,"3,053,770,000","20,125,900,000",BCH,0.001306214
11/17/2017,909.16,1217.42,863.98,1185.48,"3,203,430,000","15,279,000,000",BCH,0.023269139
11/16/2017,1202.17,1210.36,876.57,900.78,"2,034,690,000","20,202,000,000",BCH,-0.007163914
