Date,Open,High,Low,Close,Volume,Market.Cap,Coin,Delta
20-Dec-17,354.38,488.57,348.57,453.46,"983,169,000","5,923,720,000",BTG,0.007163324
12/19/2017,319.81,367.33,316.07,355.18,"413,363,000","5,345,270,000",BTG,-0.368375326
12/18/2017,300,332.56,281.7,319.53,"313,797,000","5,013,620,000",BTG,-0.100288809
12/17/2017,297.61,306.58,294.5,300.49,"120,807,000","4,973,110,000",BTG,-0.330385299
12/16/2017,297.06,313,292.14,296.4,"136,415,000","4,963,500,000",BTG,1.004176051
12/15/2017,316.87,316.87,277.86,297.84,"175,999,000","5,293,820,000",BTG,0.355006667
12/14/2017,271.43,352.55,270.45,316.95,"467,875,000","4,534,150,000",BTG,0.114938439
12/13/2017,276.11,285.06,254.1,271.45,"221,863,000","4,611,860,000",BTG,-0.089727682
12/12/2017,254.35,294.19,251.87,275.44,"205,849,000","4,247,980,000",BTG,0.027470687
12/11/2017,229.33,288.68,229.19,254.45,"265,127,000","3,829,550,000",BTG,-0.101033295
12/10/2017,244.97,245.99,195.87,228.87,"140,891,000","4,090,460,000",BTG,0.169052825
12/9/2017,260.84,263.1,230.1,243.1,"105,017,000","4,354,930,000",BTG,0.080319149
12/8/2017,253.71,278.26,248.08,261.16,"178,502,000","4,235,360,000",BTG,0.04281757
12/7/2017,279.03,279.76,250.23,251.64,"137,885,000","4,657,540,000",BTG,-0.120013803
12/6/2017,305.66,305.93,270.91,279.89,"156,602,000","5,101,520,000",BTG,-0.07737375
12/5/2017,329.47,329.47,303.18,304.69,"113,206,000","5,498,370,000",BTG,0.171025105
12/4/2017,322.01,339.83,316.34,328.38,"130,453,000","5,373,320,000",BTG,-0.042192571
12/3/2017,298.84,347.78,294.44,320.66,"252,844,000","4,986,080,000",BTG,0.200655625
12/2/2017,311.51,315.05,295.88,299.07,"88,196,700","5,196,890,000",BTG,-0.038997677
12/1/2017,304.34,315.75,288.14,311.64,"134,598,000","5,076,660,000",BTG,-0.120810259
11/30/2017,294.33,323.56,269.03,304.63,"151,331,000","4,909,140,000",BTG,-0.005838138
11/29/2017,329.4,360.75,287.73,295.41,"252,313,000","5,493,510,000",BTG,-0.042333217
11/28/2017,359.36,360.12,325.56,329.78,"101,004,000","5,992,370,000",BTG,-0.713265388
11/27/2017,370.18,387.88,353.67,359.25,"129,160,000","6,172,140,000",BTG,0.042328373
11/26/2017,355.72,366.79,334.74,366.79,"141,228,000","5,930,460,000",,
11/25/2017,394.04,394.04,339.1,356.04,"208,662,000",-,,
11/24/2017,295.75,413.74,284.26,394.22,"537,472,000",-,,
11/23/2017,241.97,299.89,241.97,293.61,"154,038,000",-,,
11/22/2017,264.18,275.05,232.92,241.72,"111,451,000",-,,
11/21/2017,250.85,364.78,201.9,267.21,"370,782,000",-,,
11/20/2017,135.2,247.1,105.79,236.37,"93,826,900",-,,
11/19/2017,154.91,155.55,133.96,135.69,"19,503,400",-,,
11/18/2017,153.07,172.45,151.79,155.73,"24,642,900",-,,
11/17/2017,138.75,165.94,133.05,152.02,"24,935,100",-,,
11/16/2017,161.87,181.33,136.4,140.78,"27,949,200",-,,
11/15/2017,160.54,187.28,151.47,161.69,"30,094,100",-,,
11/14/2017,253.22,253.22,154.05,159.94,"39,340,400",-,,
11/13/2017,277,307.26,218.34,249.22,"45,916,500",-,,
11/12/2017,421.75,465.62,281.55,282.41,"90,339,900",-,,
11/11/2017,213.12,509.81,213.12,427.13,"187,191,000",-,,
11/10/2017,157.49,213.4,155.39,213.4,"36,198,500",-,,
11/9/2017,140.51,156.66,138.23,156.66,"13,140,500",-,,
11/8/2017,153.13,159.34,135.21,139.39,"12,513,700",-,,
11/7/2017,149.25,159.22,149.25,153.35,"7,219,510",-,,
11/6/2017,165.49,170.19,148.12,148.77,"10,901,900",-,,
11/5/2017,141.79,175.96,140,165.76,"16,915,700",-,,
11/4/2017,131.6,144.41,128.28,142.17,"9,145,650",-,,
11/3/2017,126.35,137.29,123.55,131.76,"8,035,790",-,,
11/2/2017,144.9,147.03,122.97,127.51,"12,020,600",-,,
11/1/2017,157.03,159.76,140.55,144.88,"14,898,100",-,,
10/31/2017,133.84,164.55,132.16,156.73,"18,906,800",-,,
10/30/2017,138.65,138.65,126.42,132.8,"6,730,380",-,,
10/29/2017,115.92,139.26,115.21,139.18,"11,295,300",-,,
10/28/2017,120.52,123.43,106.18,115.82,"5,635,800",-,,
10/27/2017,137.24,137.98,118.33,120.66,"8,217,860",-,,
10/26/2017,137.03,143.64,121.05,136.23,"11,556,600",-,,
10/25/2017,143.15,165.8,125.83,137.09,"16,040,700",-,,
10/24/2017,498.44,500.75,141.09,142.92,"23,301,700",-,,
10/23/2017,479.82,539.72,479.82,500.13,"7,652,060",-,,
