Date,Open,High,Low,Close,Volume,Market.Cap,Coin,Delta
12/2/2017,190.83,205.26,186.68,203.03,"80,791,100","2,943,520,000",XMR,-0.006903693
12/1/2017,179.72,191.85,169.76,190.94,"70,430,500","2,771,380,000",XMR,-0.020659291
11/30/2017,170.49,195.39,156.53,180.14,"128,112,000","2,627,490,000",XMR,0.004650108
11/29/2017,203.91,214.28,165.33,168.15,"178,828,000","3,142,680,000",XMR,-0.004068256
11/28/2017,175.35,203.21,173.17,203.21,"179,179,000","2,701,720,000",XMR,0.038046031
11/27/2017,162.92,173.39,159.95,173.39,"81,489,700","2,509,520,000",XMR,-0.014685476
11/26/2017,168.57,168.72,159.76,163.37,"61,100,400","2,595,920,000",XMR,-0.018144704
11/25/2017,160,170.1,160,168.44,"64,076,700","2,463,190,000",XMR,-0.025329057
11/24/2017,158.62,162.94,156.76,160.03,"69,178,000","2,441,330,000",XMR,0.020629016
11/23/2017,166.11,172.92,156.45,158.61,"109,392,000","2,555,950,000",XMR,-0.011599375
11/22/2017,142.08,173.45,141.14,165.95,"189,472,000","2,184,930,000",XMR,-0.018094089
11/21/2017,136.1,142.21,131.37,141.74,"72,701,500","2,093,010,000",XMR,-0.048472845
11/20/2017,129.5,140.55,128.49,135.76,"59,945,400","1,990,900,000",XMR,0.009579956
11/19/2017,130.72,133.62,127.21,129.48,"42,133,000","2,009,180,000",XMR,-0.050730438
11/18/2017,126.59,135.01,123.53,130.8,"62,156,400","1,945,200,000",XMR,0.054386703
11/17/2017,120.02,126.7,119.25,126.7,"47,127,700","1,843,600,000",XMR,0.090565173
11/16/2017,121.24,128.09,118.5,120.31,"74,944,100","1,861,940,000",XMR,-0.005367748
11/15/2017,122.24,124.72,119.19,121.37,"49,976,700","1,876,740,000",XMR,0.00783952
11/14/2017,123.62,124.2,118.63,122.35,"53,544,800","1,896,990,000",XMR,0.014133863
11/13/2017,128.96,136.53,120.92,123.4,"116,200,000","1,978,840,000",XMR,-0.047359037
11/12/2017,119.6,133.68,110.62,123.86,"144,948,000","1,834,630,000",XMR,-0.017726228
11/11/2017,105.75,127.11,103.88,119.62,"107,708,000","1,621,800,000",XMR,0.008357159
11/10/2017,121.34,121.67,101.76,105.59,"84,614,000","1,860,390,000",XMR,-0.00783375
11/9/2017,112.53,123.41,112.22,120.78,"86,864,600","1,724,820,000",XMR,0.015139794
11/8/2017,99.82,115.94,99.14,113.31,"79,822,900","1,529,550,000",XMR,-0.02732652
11/7/2017,104.23,104.75,95.05,99.76,"81,253,300","1,596,750,000",XMR,0.015734266
11/6/2017,86.42,102.92,86.15,102.92,"103,722,000","1,323,540,000",XMR,-0.021590423
11/5/2017,87.31,88.04,86.04,86.35,"27,619,800","1,336,790,000",XMR,-0.024793388
11/4/2017,87.9,88.48,85.5,87.3,"23,011,500","1,345,360,000",XMR,0.013977128
11/3/2017,83.53,90.14,83.53,87.99,"37,321,100","1,278,080,000",XMR,-0.028776978
11/2/2017,85.66,86.08,81.68,83.76,"48,608,100","1,310,390,000",XMR,-0.037040705
11/1/2017,87.65,88.2,84.73,85.72,"36,899,300","1,340,360,000",XMR,0.089380054
10/31/2017,88.75,89.33,87.6,87.64,"28,704,900","1,356,840,000",XMR,-0.007248694
10/30/2017,88.59,90.49,88.04,88.84,"28,179,100","1,354,090,000",XMR,0.047778897
10/29/2017,86.27,90.36,86.27,88.65,"38,368,700","1,318,160,000",XMR,-0.024629468
10/28/2017,86.91,87.76,85.71,86.31,"25,397,400","1,327,650,000",XMR,0.043394297
