Date,Open,High,Low,Close,Volume,Market.Cap,Coin,Delta
12/19/2017,1165.03,1254.28,1126.85,1186.63,"302,869,000","9,042,190,000",DASH,-0.001797763
12/18/2017,1110.16,1195.74,1044.76,1167.12,"278,638,000","8,614,190,000",DASH,-0.157144266
12/17/2017,1014.51,1178.18,1014.51,1105.92,"460,594,000","7,869,960,000",DASH,0.55091414
12/16/2017,901.22,1001.51,897.29,1001.51,"195,788,000","6,989,350,000",DASH,0.044142051
12/15/2017,943.32,947.28,850.63,900.52,"191,527,000","7,313,960,000",DASH,0.013219787
12/14/2017,884.21,968.47,866.63,941.11,"259,303,000","6,853,970,000",DASH,0.03337771
12/13/2017,925.02,931.21,810.96,886.88,"268,426,000","7,168,440,000",DASH,0.079477204
12/12/2017,765.96,948.65,746.94,932.03,"370,539,000","5,934,340,000",DASH,0.067340925
12/11/2017,688.55,768.93,688.15,765.4,"184,131,000","5,333,190,000",DASH,0.008081325
12/10/2017,723.23,723.83,645.16,688.67,"190,183,000","5,600,430,000",DASH,-0.004228484
12/9/2017,727.64,774.65,707.32,723.61,"211,738,000","5,633,100,000",DASH,-0.013999569
12/8/2017,700.68,766.04,659.86,726.67,"288,291,000","5,423,040,000",DASH,0.055705029
12/7/2017,699.99,714.51,667.83,697.9,"249,305,000","5,416,260,000",DASH,-0.023841937
12/6/2017,756.01,785.18,692.02,700.07,"249,073,000","5,848,270,000",DASH,-0.02491921
12/5/2017,774.71,779.98,754.27,756.36,"201,103,000","5,991,370,000",DASH,-0.021864817
12/4/2017,770.57,778.05,738.59,774.01,"152,281,000","5,957,860,000",DASH,0.00807333
12/3/2017,778.78,806.7,744.39,768.88,"192,447,000","6,015,560,000",DASH,0.031534968
12/2/2017,797.9,802.12,769.39,778.43,"188,147,000","6,161,690,000",DASH,-0.020361026
12/1/2017,787.47,806.37,756.48,797.53,"286,044,000","6,079,550,000",DASH,-0.019780527
11/30/2017,681.13,826.95,670.99,786.93,"498,872,000","5,257,210,000",DASH,-0.010033561
11/29/2017,626.26,815.01,625.37,677.39,"415,879,000","4,832,510,000",DASH,-0.018100316
11/28/2017,632.44,637.06,616.31,626.42,"149,795,000","4,878,960,000",DASH,0.032612524
11/27/2017,621.15,638.95,611.79,632.3,"134,862,000","4,790,590,000",DASH,0.031912576
11/26/2017,641.46,646.28,617.74,621.62,"145,500,000","4,945,950,000",DASH,-0.008023603
11/25/2017,566.96,656.13,566.96,643.57,"242,807,000","4,370,400,000",DASH,-0.038380343
11/24/2017,564.34,573.2,553.58,566.63,"129,105,000","4,349,120,000",DASH,-0.021055482
11/23/2017,577.25,583.73,557.12,566.68,"173,698,000","4,447,480,000",DASH,-0.007990599
11/22/2017,494.76,594.53,494.29,578.85,"381,958,000","3,810,980,000",DASH,-0.009199387
